 2019 11 12 00 00 00,G32,-20877680.65932856,13898178.757281944,8478677.409294264
 2019 10 22 16 00 00,G04,8239092.5221768245,-17520980.55285689,18190528.691861726
 2019 11 11 18 00 00,G27,-11478698.421058843,22004154.091603726,9768117.827838663
 2019 11 11 17 59 44,G09,17304777.476444382,2163231.907613541,-20081671.7825758
 2019 11 11 20 00 00,G30,19655208.442846827,13762820.74334734,-11143226.649545824
 2019 11 11 23 59 44,G25,15645574.930637272,14798592.890723042,15500317.245043594
 2019 11 11 21 59 44,G13,-12494585.21958433,-9062126.049453644,21742751.791938465
 2019 11 11 16 00 00,G16,11569592.78280022,21827440.09445437,10132649.101463573
 2019 10 22 14 00 00,G18,-5474006.348889386,14775829.260585036,21895523.659084655
 2019 11 11 14 00 00,G22,-7083693.453992655,18266091.746636115,17759672.93907234
 2019 11 12 02 00 00,G27,20908358.010876305,-10455163.12108957,12194302.420767553
 2019 11 12 01 59 44,G26,16976379.66980218,8386861.258724775,18687145.39021333
 2019 11 12 04 00 00,G30,-4767762.252589968,14942034.373120498,-21463189.549561232
 2019 11 12 03 59 44,G08,17789614.34942969,435100.41458655335,19679770.358533055
 2019 11 12 06 00 00,G22,9798374.231601736,24625678.542838097,-91670.38675994081
 2019 11 12 05 59 44,G30,-24434460.319943476,1051556.8924143584,-10146010.797279589
 2019 11 12 08 00 00,G17,-12328202.84128604,-8693435.359448843,-22289211.94720003
 2019 11 12 07 59 44,G31,-24872735.024683878,-8217787.465960861,2440928.495922356
 2019 11 12 10 00 00,G09,19400214.035009224,-17805602.12262955,-3443934.447859867
 2019 11 12 09 59 44,G19,-3661498.750414471,19048811.170128033,17858558.09370504
 2019 11 12 11 59 44,G16,3279698.465955452,-23143729.868701722,11989029.794709357
 2019 11 12 12 00 00,G07,-25799424.074400518,-7265002.521905957,1348523.247428769
 2019 11 12 14 00 00,G13,22472124.141904857,-11091930.569314567,-8567687.632576147
 2019 11 12 13 59 44,G05,-14488254.395402456,5140740.848642095,21518735.7024787
 2019 11 12 16 00 00,G15,-18370120.902031045,977391.2716059126,18727620.62882712
 2019 11 12 15 59 44,G27,9011411.012337156,11914824.950939234,21866406.31750362
 2019 11 12 18 00 00,G12,8320569.879993655,24890401.26676174,3666310.2343197493
 2019 11 12 17 59 44,G10,14429238.905557567,-4732673.922346462,-21854938.735287856
 2019 11 12 20 00 00,G25,3675214.0755203036,25493944.76855048,-5674709.384262739
 2019 11 12 19 59 44,G06,24347231.054129764,9193281.803152287,5281214.955780129
 2019 11 12 22 00 00,G31,-5734384.507691288,-16104885.56652483,20187191.334764462
 2019 11 12 21 59 44,G06,3985729.2362555717,15559595.448166166,21193934.0294716
 2019 11 12 21 59 28,G12,15528797.169347657,6530077.683216154,20360193.083056174
 2019 11 13 00 00 00,G23,9749159.094523614,12582181.99732483,-21578055.44007691
 2019 11 12 23 59 28,G12,7921162.04515441,25244866.33490524,2958493.0122459447
 2019 11 12 23 59 44,G25,15481972.736365134,15545064.87453393,14937697.8630623
